latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
28.90602,20.95964,353.13,1.03,1.01,2023-04-20,0048,A,100,6.1NRT,287.85,74.15,N
28.89705,20.95785,309.57,1.03,1.01,2023-04-20,0048,A,78,6.1NRT,285.23,12.19,N
28.89543,20.96818,313.72,1.03,1.01,2023-04-20,0048,A,88,6.1NRT,285.13,15.4,N
29.07786,19.06395,306.37,1.02,1.01,2023-04-20,0048,A,68,6.1NRT,284.99,10.4,N
28.91035,19.77702,321.57,1,1,2023-04-20,0048,A,100,6.1NRT,286.23,22.64,N
27.98637,22.32903,308.31,1.16,1.07,2023-04-20,0048,A,74,6.1NRT,283.89,14.86,N
28.05886,19.9124,306.56,1,1,2023-04-20,0048,A,68,6.1NRT,284.06,10.7,N
33.26123,131.65201,323.37,1.19,1.09,2023-04-20,0130,T,56,6.1NRT,300.66,16.13,D
-2.71825,17.44934,301.6,1.66,1.27,2023-04-20,0054,A,43,6.1NRT,290.97,7.23,N
0.80489,-176.62135,311.5,1.2,1.09,2023-04-20,0143,A,45,6.1NRT,297.5,8.43,D
-3.56107,126.20137,313.58,1,1,2023-04-20,0139,T,67,6.1NRT,295.91,5.22,D
-3.87118,122.40437,317.09,1.45,1.19,2023-04-20,0139,T,70,6.1NRT,294.74,13.64,D
-13.88604,132.52773,314.15,3.09,1.67,2023-04-20,0141,T,64,6.1NRT,295.27,37.81,D
-13.88582,132.52214,313.67,3.09,1.67,2023-04-20,0141,T,64,6.1NRT,295.39,37.62,D
-14.61016,126.01962,341.59,1.11,1.05,2023-04-20,0143,T,90,6.1NRT,302.1,44.91,D
-14.61544,126.01237,319.52,1.11,1.05,2023-04-20,0143,T,52,6.1NRT,300.98,11.92,D
-14.61681,126.0225,325,1.11,1.05,2023-04-20,0143,T,58,6.1NRT,301.11,18.62,D
-14.65279,126.00714,314.7,1.11,1.05,2023-04-20,0143,T,58,6.1NRT,301.7,6.2,D
-14.677,126.04479,317.66,1.11,1.05,2023-04-20,0143,T,66,6.1NRT,301.59,8.96,D
-14.6808,126.00321,315.56,1.11,1.05,2023-04-20,0143,T,41,6.1NRT,301.96,6.25,D
-14.68218,126.01322,316.86,1.11,1.05,2023-04-20,0143,T,62,6.1NRT,301.59,7.63,D
-14.7377,125.88608,311.93,1.1,1.04,2023-04-20,0143,T,40,6.1NRT,300.44,5.24,D
-14.75434,126.00738,314.1,1.11,1.05,2023-04-20,0143,T,51,6.1NRT,301.35,5.44,D
-14.88257,126.95901,316.1,1.24,1.11,2023-04-20,0143,T,63,6.1NRT,302.57,8.83,D
-14.82489,125.99067,321.71,1.11,1.05,2023-04-20,0143,T,73,6.1NRT,301.55,13.84,D
-14.82627,126.00083,324.51,1.11,1.05,2023-04-20,0143,T,77,6.1NRT,302.01,17.14,D
-14.90838,126.25111,324.71,1.14,1.06,2023-04-20,0143,T,56,6.1NRT,301.47,17.14,D
-14.91411,126.29298,343.38,1.15,1.07,2023-04-20,0143,T,92,6.1NRT,304.28,49.69,D
-14.91556,126.30354,322.57,1.15,1.07,2023-04-20,0143,T,58,6.1NRT,304.7,14.45,D
-14.91988,126.33505,322.19,1.15,1.07,2023-04-20,0143,T,74,6.1NRT,302.44,15.62,D
-14.92132,126.34559,313.34,1.15,1.07,2023-04-20,0143,T,50,6.1NRT,300.94,5.64,D
-14.92359,126.29156,331.33,1.15,1.07,2023-04-20,0143,T,83,6.1NRT,304.2,25.96,D
-14.92504,126.30211,320.84,1.15,1.07,2023-04-20,0143,T,50,6.1NRT,303.31,11.51,D
-14.92483,126.264,316.17,1.14,1.07,2023-04-20,0143,T,55,6.1NRT,302.16,8.43,D
-14.89015,125.93401,315.1,1.1,1.05,2023-04-20,0143,T,59,6.1NRT,301.73,7.21,D
-14.90332,125.89111,323.86,1.1,1.05,2023-04-20,0143,T,71,6.1NRT,304.41,15.93,D
-14.95187,126.24964,316.92,1.14,1.07,2023-04-20,0143,T,65,6.1NRT,300.87,9.33,D
-14.95327,126.26001,315.72,1.14,1.07,2023-04-20,0143,T,36,6.1NRT,301.69,7.35,D
-14.967,126.2902,315.13,1.15,1.07,2023-04-20,0143,T,54,6.1NRT,301.75,7.51,D
-14.92468,125.90849,323.63,1.1,1.05,2023-04-20,0143,T,72,6.1NRT,302.72,15.34,D
-14.98221,126.33112,320.61,1.15,1.07,2023-04-20,0143,T,72,6.1NRT,301.5,13.93,D
-14.98363,126.34164,320.58,1.16,1.07,2023-04-20,0143,T,72,6.1NRT,301.67,13.62,D
-15.4883,128.92752,317.55,1.72,1.29,2023-04-20,0143,T,44,6.1NRT,300,17.84,D
-15.49786,128.91054,317.7,1.71,1.28,2023-04-20,0143,T,68,6.1NRT,299.98,18.71,D
-15.49973,128.92587,321.95,1.72,1.29,2023-04-20,0143,T,75,6.1NRT,300.26,28.21,D
-15.21949,125.11411,316.79,1.04,1.02,2023-04-20,0143,T,63,6.1NRT,302.18,7.9,D
-15.73812,128.99643,319.46,1.75,1.3,2023-04-20,0143,T,65,6.1NRT,299.62,22.1,D
-15.22857,125.11616,314.61,1.04,1.02,2023-04-20,0143,T,61,6.1NRT,301.07,7.06,D
-15.73486,128.99068,322.17,1.75,1.3,2023-04-20,0143,T,75,6.1NRT,301.15,30.26,D
-15.32582,125.68765,313.27,1.09,1.04,2023-04-20,0143,T,56,6.1NRT,301.29,6.29,D
-15.46122,126.55128,322.66,1.2,1.09,2023-04-20,0143,T,75,6.1NRT,300.95,17.54,D
-15.46267,126.56224,314.21,1.2,1.09,2023-04-20,0143,T,58,6.1NRT,301.65,7.31,D
-15.45812,126.30901,320.45,1.16,1.07,2023-04-20,0143,T,72,6.1NRT,301.83,13.87,D
-15.45956,126.31964,320.12,1.17,1.07,2023-04-20,0143,T,71,6.1NRT,302.13,13.9,D
-15.46017,125.65221,316.65,1.09,1.04,2023-04-20,0143,T,62,6.1NRT,303.4,8.44,D
-15.46566,125.69195,314.8,1.09,1.04,2023-04-20,0143,T,35,6.1NRT,301.29,7.43,D
-15.42695,125.34602,322.03,1.06,1.03,2023-04-20,0143,T,74,6.1NRT,302.51,13.47,D
-15.47495,125.69079,323.42,1.09,1.04,2023-04-20,0143,T,76,6.1NRT,302.02,17.05,D
-15.45755,125.37482,320.34,1.06,1.03,2023-04-20,0143,T,50,6.1NRT,301.61,10.84,D
-15.46537,125.36377,321.91,1.06,1.03,2023-04-20,0143,T,74,6.1NRT,301.99,12.69,D
-15.46671,125.37354,318.24,1.06,1.03,2023-04-20,0143,T,40,6.1NRT,302.05,8.85,D
-15.4904,125.40978,323.76,1.07,1.03,2023-04-20,0143,T,77,6.1NRT,300.72,16.63,D
-15.66136,125.38354,321.44,1.07,1.03,2023-04-20,0143,T,74,6.1NRT,300.94,13.69,D
-15.74842,125.67362,314.07,1.1,1.04,2023-04-20,0143,T,59,6.1NRT,299.55,7.63,D
-15.70676,125.30669,313.24,1.06,1.03,2023-04-20,0143,T,57,6.1NRT,300.71,5.89,D
-15.71226,125.34589,318.17,1.07,1.03,2023-04-20,0143,T,69,6.1NRT,301.61,9.97,D
-15.71363,125.23028,315.44,1.06,1.03,2023-04-20,0143,T,44,6.1NRT,301.2,7.2,D
-16.14971,128.5408,311.96,1.65,1.26,2023-04-20,0143,T,50,6.1NRT,298.48,11.7,D
-15.76398,125.39245,312.17,1.07,1.03,2023-04-20,0143,T,51,6.1NRT,301.26,5.04,D
-15.9783,126.83957,321.85,1.26,1.12,2023-04-20,0143,T,33,6.1NRT,302.01,13.32,D
-15.83914,125.47571,315.03,1.08,1.04,2023-04-20,0143,T,62,6.1NRT,301.59,7.56,D
-16.02342,126.79185,315.21,1.25,1.11,2023-04-20,0143,T,62,6.1NRT,302.17,8.49,D
-16.11782,127.53405,315.77,1.4,1.17,2023-04-20,0143,T,55,6.1NRT,301.79,10.57,D
-16.1282,127.53239,319.68,1.4,1.17,2023-04-20,0143,T,71,6.1NRT,301.74,16.6,D
-15.86679,125.47156,314.25,1.08,1.04,2023-04-20,0143,T,57,6.1NRT,301.44,6.5,D
-15.9007,125.65012,315.45,1.1,1.04,2023-04-20,0143,T,47,6.1NRT,300.75,7.11,D
-15.75703,124.42628,315.77,1.01,1.01,2023-04-20,0143,T,64,6.1NRT,302.51,6.81,D
-16.09834,126.90039,319.72,1.28,1.12,2023-04-20,0143,T,71,6.1NRT,301.75,13.57,D
-16.13306,127.16347,311.39,1.32,1.14,2023-04-20,0143,T,44,6.1NRT,300.5,6.77,D
-16.16051,127.37318,314.15,1.37,1.16,2023-04-20,0143,T,34,6.1NRT,301.31,7.74,D
-16.17525,127.4865,317.91,1.39,1.17,2023-04-20,0143,T,66,6.1NRT,301.14,12.97,D
-15.93786,125.64473,315.68,1.1,1.04,2023-04-20,0143,T,38,6.1NRT,302.32,7.15,D
-16.16255,127.30888,313.35,1.35,1.15,2023-04-20,0143,T,52,6.1NRT,301.1,7.37,D
-15.94502,125.64805,311.17,1.1,1.05,2023-04-20,0143,T,43,6.1NRT,300.52,5.16,D
-16.15965,127.30356,314.7,1.35,1.15,2023-04-20,0143,T,61,6.1NRT,301.09,9.22,D
-16.17685,127.44183,317.95,1.38,1.16,2023-04-20,0143,T,36,6.1NRT,300.21,12.8,D
-15.83154,124.49458,316.33,1.01,1.01,2023-04-20,0143,T,65,6.1NRT,301.35,8.16,D
-15.96813,125.47085,315.44,1.08,1.04,2023-04-20,0143,T,63,6.1NRT,301.19,8.03,D
-16.23194,127.46049,319.69,1.39,1.17,2023-04-20,0143,T,62,6.1NRT,301.75,16.47,D
-16.23356,127.47324,318.98,1.39,1.17,2023-04-20,0143,T,59,6.1NRT,302.2,15.36,D
-15.88703,124.82169,316.56,1.03,1.01,2023-04-20,0143,T,62,6.1NRT,300.99,7.93,D
-15.88969,124.84058,318.54,1.03,1.02,2023-04-20,0143,T,69,6.1NRT,302.77,9.75,D
-15.90572,124.95459,314.85,1.04,1.02,2023-04-20,0143,T,62,6.1NRT,301.12,6.74,D
-16.24558,127.48458,331.91,1.39,1.17,2023-04-20,0143,T,84,6.1NRT,301.42,38.24,D
-16.24724,127.49749,325.89,1.4,1.17,2023-04-20,0143,T,76,6.1NRT,301.19,26.35,D
-16.26435,127.54805,318.46,1.41,1.17,2023-04-20,0143,T,69,6.1NRT,301.2,16.57,D
-16.26599,127.56082,315.16,1.41,1.18,2023-04-20,0143,T,62,6.1NRT,300.9,11.62,D
-15.89654,124.49762,321.49,1.02,1.01,2023-04-20,0143,T,70,6.1NRT,302.54,11.2,D
-15.89785,124.5069,326.86,1.02,1.01,2023-04-20,0143,T,80,6.1NRT,304.77,17.73,D
-15.90418,124.48698,347.89,1.02,1.01,2023-04-20,0143,T,71,6.1NRT,305.75,50.38,D
-15.90549,124.49626,342.61,1.02,1.01,2023-04-20,0143,T,91,6.1NRT,305.81,39.55,D
-15.90681,124.50552,336.53,1.02,1.01,2023-04-20,0143,T,88,6.1NRT,306.59,29.47,D
-15.90814,124.5149,355.24,1.02,1.01,2023-04-20,0143,T,98,6.1NRT,307.48,66.65,D
-15.90945,124.52418,351.58,1.02,1.01,2023-04-20,0143,T,96,6.1NRT,308.2,58.79,D
-15.91077,124.53346,330.28,1.02,1.01,2023-04-20,0143,T,72,6.1NRT,306.2,21.1,D
-15.91313,124.48564,367.95,1.02,1.01,2023-04-20,0143,T,0,6.1NRT,304.5,103.87,D
-15.91446,124.49494,397.41,1.02,1.01,2023-04-20,0143,T,87,6.1NRT,309.7,234.81,D
-15.91578,124.50423,369.11,1.02,1.01,2023-04-20,0143,T,94,6.1NRT,304.5,106.24,D
-15.9171,124.5136,367.57,1.02,1.01,2023-04-20,0143,T,100,6.1NRT,303.83,101.39,D
-15.91842,124.52287,382.95,1.02,1.01,2023-04-20,0143,T,100,6.1NRT,307.05,161.17,D
